Subj,Condition,Language,Know,Know_Time,Control_Bob,Control_Sue,Felicity,Fel_Time,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES
225,1,1,5,33.709,9,9,6,11.983,21,29,1,,,,,,1,,,5,7
226,1,1,6,45.729,9,9,6,27.017,21,30,1,,,,,,1,,,5,4
227,1,1,7,31.518,10,9,7,20.551,21,37,2,,,,,,1,,,4,7
228,1,1,5,43.868,9,9,7,20.974,21,25,1,,,1,,,,,,4,5
229,1,1,6,34.346,9,9,6,9.408,21,19,2,,,,,,1,,,4,5
230,1,1,5,30.339,9,9,6,12.237,21,26,1,,,,,1,,,,4,5
231,1,1,7,29.253,9,9,6,13.549,21,20,1,,,,1,,,,,4,3
232,1,1,7,55.135,9,9,7,21.514,21,34,2,,,,,,1,,,5,8
233,1,1,7,67.571,9,9,7,17.312,21,24,1,,,,,,1,,,6,6
234,1,1,7,46.855,9,9,6,24.462,21,53,2,,,,,,1,,,5,3
235,1,1,2,25.325,9,10,4,9.989,21,22,1,,,,1,,,,,4,7
236,1,1,7,54.361,9,9,7,12.435,21,29,1,,,,,,1,,,4,8
237,1,1,7,55.713,9,9,7,28.336,21,45,1,,,,,,1,,,4,4
238,1,1,6,66.648,9,9,5,36.503,21,29,1,,,,1,,,,,5,6
239,1,1,7,92.859,9,9,7,21.377,21,29,1,,,,,,1,,,5,9
240,1,1,7,137.39,9,9,7,28.863,21,66,1,,,,,,1,,,7,6
241,1,1,5,39.368,9,9,6,16.876,21,33,1,,,,,,1,,,5,8
242,1,1,6,49.113,9,9,6,16.932,21,42,2,,,,,,1,,,5,4
243,1,1,4,67.926,9,9,6,21.727,21,31,2,,,,,,1,,,4,7
244,1,1,5,28.574,9,9,6,25.671,21,30,1,,,,,,1,,,6,5
245,1,1,6,46.148,9,9,6,16.217,21,24,1,,,,,,1,,,4,8
246,1,1,7,87.444,10,9,5,31.744,21,22,2,,,,,,1,,,5,7
247,1,1,7,133.616,9,9,7,26.442,21,43,1,,,,,,1,,,3,8
248,1,1,5,2.853,9,10,2,2.106,21,22,1,,,,,,1,,,4,4
249,1,1,7,64.565,9,9,7,17.429,21,29,1,,,,,,1,,,4,7
250,1,1,7,47.263,9,9,7,26.481,21,32,2,,,,,,1,,,2,8
251,1,1,7,51.214,9,9,7,17.9,21,22,1,,,,,,1,,,5,3
252,1,1,5,44.061,9,9,6,15.911,21,39,1,,,,,,1,,,4,8
253,1,1,6,24.834,9,9,5,7.115,21,25,1,,,,1,,,,,4,5
254,1,1,7,52.669,9,9,7,33.045,21,28,2,,,1,,,1,,,5,4
255,1,1,6,48.188,9,9,3,33.644,22,20,1,,,,1,,,,,4,7
256,1,1,6,46.2,9,9,7,9.317,21,34,2,,,,,,1,,,5,5
257,1,1,7,90.885,9,9,7,48.568,21,26,1,,,,,,1,,,5,5
